,NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude ,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,UTC_YEAR,count,Make_final,UTC_MTH,UTC_DAY,UTC_HOUR,UTC_WEEKDAY
159,DCA12WA030,INC,82740.0,2011-12-03T00:35:00Z,Maldives,,Maldives,,A6-EMR,,False,Aviation,,,,,0.0,0.0,0.0,,,,,,BOEING,777,AIR,,,false,,,SCHD,,NUSC,Minor,,Emirates,Landing,,,,,,2011,,Boeing,12,3,0,Saturday
164,WPR12LA053,ACC,82465.0,2011-12-01T21:53:00Z,Oakland,California,United States,,N261WN,32517,False,Aviation,DirectorBrief,2013-10-29T04:00:00Z,2013-08-06T18:27:00Z,Serious,0.0,1.0,2.0,The flight crew’s flight into known severe turbulence associated with mountain wave activity.,"Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel, Personnel issues - Action/decision - Action - (general) - Pilot",,37.729171,-122.24089,BOEING,737-7H4,AIR,OAK,Oakland International Airport,false,2,TF,SCHD,,121,,VMC,SOUTHWEST AIRLINES CO,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=82465,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82465/pdf,2011,,Boeing,12,1,21,Thursday
167,WPR12LA057,ACC,82481.0,2011-12-01T15:39:00Z,Modesto,California,United States,,N547UA,25368,False,Aviation,DirectorBrief,2015-08-11T04:00:00Z,2015-06-17T11:12:00Z,Serious,0.0,1.0,0.0,"The flight's encounter with known severe turbulence associated with mountain wave activity, which resulted in a flight attendant sustaining a broken ankle.",Environmental issues - Conditions/weather/phenomena - Turbulence - Terrain induced turbulence - Effect on equipment,,37.610408,-122.379005,BOEING,757-222,AIR,,,false,2,TJ,SCHD,,121,,VMC,United Airlines,Approach,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=82481,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82481/pdf,2011,,Boeing,12,1,15,Thursday
171,OPS12IA167,INC,82486.0,2011-12-01T11:07:00Z,Chicago,Illinois,United States,,"N570AM, N432WN","238, 33715",False,Aviation,DirectorBrief,2012-11-07T05:00:00Z,2012-03-14T18:18:00Z,,0.0,0.0,0.0,"The tower local controller did not ensure that the runway was clear of conflict before directing the B737 to cross the runway, and other air traffic control personnel did not effectively intervene when the separation between the two airplanes became questionable.","Personnel issues - Action/decision - Info processing/decision - Identification/recognition - ATC personnel, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - ATC personnel, Personnel issues - Task performance - Communication (personnel) - Lack of communication - ATC personnel",,41.779296,-87.770683,"LEARJET INC, BOEING","45, 737-7H4","AIR, AIR",MDW,Chicago Midway,"false, false","2, 2","TF, TF",SCHD,UNK,"091, 121","None, None",VMC,"AIR CLAYCO INC, SOUTHWEST AIRLINES CO",Takeoff,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=82486,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82486/pdf,2011,,Boeing,12,1,11,Thursday
254,DCA12CA043,ACC,82961.0,2011-11-10T13:45:00Z,Minneapolis,Minnesota,United States,,N331NW,318,False,Aviation,DirectorBrief,2018-09-05T04:00:00Z,2018-08-14T20:37:00Z,,0.0,0.0,0.0,"In-flight collision with birds during initial climb, which resulted in substantial damage to the aircraft.",Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment,,44.867778,-93.226669,AIRBUS INDUSTRIE,A320 211,AIR,KMSP,MINNEAPOLIS-ST PAUL INTL/WOLD-,false,2,TF,SCHD,,121,Substantial,Unknown,DELTA AIR LINES INC,Initial Climb,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=82961,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82961/pdf,2011,,Airbus,11,10,13,Thursday
277,DCA12WA011,INC,82254.0,2011-11-03T12:10:00Z,Munich,,Germany,,9V-SWQ,,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,48.353889,11.78611,BOEING,777,AIR,EDDM,Munich Airport,false,2,,SCHD,,NUSC,Minor,,Singapore Airlines,Landing,,,Final,,,2011,,Boeing,11,3,12,Thursday
286,DCA12WA009,ACC,82236.0,2011-11-01T14:39:00Z,Warsaw,,Poland,,SP-LPC,,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,,,BOEING,767,AIR,EPWA,Warszawa-Frédéric Chopin,false,,,SCHD,,NUSC,Substantial,,POLSKIE LINIE LOTNICZE,,,,Final,,,2011,,Boeing,11,1,14,Tuesday
297,DCA12WA010,ACC,82241.0,2011-10-28T16:44:00Z,Nani,,Kenya,,A7-BBD,,False,Aviation,,,,,0.0,0.0,0.0,,,,-0.846111,39.927501,BOEING,777 - 200,AIR,,,false,,,SCHD,,NUSC,,,Qatar Airways,Enroute,,,,,,2011,,Boeing,10,28,16,Friday
310,DCA12WA007,ACC,82194.0,2011-10-24T04:00:00Z,Faro,,Portugal,,EI-DPA,,False,Aviation,,,,,0.0,0.0,0.0,,,,,,BOEING,737 - 800,AIR,,,false,,,,,,Substantial,,,Takeoff,,,,,,2011,,Boeing,10,24,4,Monday
312,ENG12IA003,INC,82141.0,2011-10-23T17:00:00Z,Detroit,Michigan,United States,,N661US,23719,False,Aviation,DirectorBrief,2012-12-07T05:00:00Z,,,0.0,0.0,0.0,"The penetration of turbine blade fragments through the rear turbine case, which punctured the No. 4 bearing oil pressure supply tube, allowing misted oil to contact the hot engine case and ignite the undercowl fire.

Contributing to the incident was the installation of approved (but not preferred) stage 3 low pressure turbine outer transition duct segments with the riveted rear seal configuration and the failure of the engine design to comply with the engine debris containment requirements of 14 Code of Federal Regulations 33.13 and 33.75.","Aircraft - Aircraft power plant - Power plant - Engine cowling system - Damaged/degraded, Aircraft - Aircraft power plant - Power plant - Engine cowling system - Capability exceeded, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Failure, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Fatigue/wear/corrosion, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Related maintenance info, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Design",,42.349647,-83.059921,BOEING,747-451,AIR,DTW,Detroit International Airport,false,4,TJ,SCHD,,121,Minor,,DELTA AIR LINES INC,Initial Climb,Completed,,Final,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82141/pdf,2011,,Boeing,10,23,17,Sunday
326,ERA12CA044,ACC,82120.0,2011-10-19T21:48:00Z,New York,New York,United States,,N253AY,24894,False,Aviation,DirectorBrief,2012-02-06T05:00:00Z,2011-12-20T18:48:00Z,Serious,0.0,1.0,0.0,"The passenger's lack of compliance with the illuminated seatbelt sign, which resulted in her injury during a turbulence encounter.","Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - Passenger, Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Effect on operation",,40.63972,-73.778892,BOEING,767-2B7,AIR,,,false,2,TJ,SCHD,,121,,IMC,US AIRWAYS INC,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=82120,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82120/pdf,2011,,Boeing,10,19,21,Wednesday
336,DCA12WA005,ACC,82190.0,2011-10-17T13:06:00Z,Putong,,China,,9V-SYH,,False,Aviation,,2020-11-03T05:00:00Z,,Serious,0.0,1.0,20.0,,,,,,BOEING,777,,,,false,,,SCHD,,NUSC,,,SINGAPORE AIRLINES LTD,,,,Final,,,2011,,Boeing,10,17,13,Monday
373,DCA12WA002,INC,82090.0,2011-10-12T13:37:00Z,Kansai,,Japan,,"N588HA, JA8356",,False,Aviation,,,,,0.0,0.0,0.0,,,,,,"BOEING, BOEING","767, 767",,,,"false, false",,,"SCHD, SCHD",,"121, 129","None, None",,"HAWAIIAN AIRLINES INC, ALL NIPPON AIRWAYS CO LTD",,,,,,,2011,,Boeing,10,12,13,Wednesday
379,ENG12IA001,INC,82022.0,2011-10-10T16:03:00Z,Atlanta,Georgia,United States,,N553NW,26500,False,Aviation,DirectorBrief,2014-10-23T04:00:00Z,2013-04-02T19:32:00Z,,0.0,0.0,0.0,"the return to service of overhauled airplane engine parts with undetected fatigue cracks, resulting in complete loss of engine power and uncontained engine failure. A contributing factor was the inadequate diffuser and HPT case inspection procedure.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Combustion section - Incorrect service/maintenance, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Combustion section - Fatigue/wear/corrosion, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Combustion section - Failure, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Combustion section - Inadequate inspection",,33.763332,-84.40166399999998,BOEING,757-251,AIR,ATL,HARTSFIELD - JACKSON ATLANTA I,false,2,TJ,SCHD,,121,Minor,VMC,Delta Air Lines Inc,Takeoff,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=82022,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82022/pdf,2011,,Boeing,10,10,16,Monday
381,ENG12RA028,INC,84512.0,2011-10-10T13:06:00Z,Antalya,,Turkey,,TC-SKF,26291,False,Aviation,,,,,0.0,0.0,0.0,,,,,,BOEING,737,AIR,LTAI,"Antalya, Turkey",false,2,TF,NSCH,,129,Minor,,Sky Airlines,,,,,,,2011,,Boeing,10,10,13,Monday
433,ERA11CA511,ACC,81941.0,2011-09-29T17:27:00Z,Miami,Florida,United States,,N804NN,29567,False,Aviation,DirectorBrief,2012-03-08T05:00:00Z,2012-01-25T19:09:00Z,Serious,0.0,1.0,0.0,"The in-flight encounter with clear air turbulence, which resulted in an injury to a cabin attendant.","Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel, Personnel issues - Physical - Impairment/incapacitation - Illness/injury - Cabin crew",,25.766666,-80.29166399999998,BOEING,737-823,AIR,MIA,Miami International,false,2,TF,SCHD,,121,,VMC,AMERICAN AIRLINES INC,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=81941,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/81941/pdf,2011,,Boeing,9,29,17,Thursday
447,ENG11IA051,INC,81900.0,2011-09-26T17:37:00Z,Denver,Colorado,United States,,N526UA,24994,False,Aviation,DirectorBrief,2012-03-12T04:00:00Z,2012-03-08T19:01:00Z,,0.0,0.0,0.0,"**This probable cause was modified on 4/5/2012. Please see the public docket for this accident to view the original probable cause.**


The initial damage to the fan blades was caused by the ingestion of a Red-Tailed Hawk that caused one or more fan blades to fracture, striking the fan case and causing it to bulge. The initial fan blade fragment release impacted and damaged other passing fan blades generating various sized blades fragments. Some of these blade fragments were propelled forward of the fan case by passing fan blades and were reingested, creating a cascading effect of collateral impact damage to the other fan blades, the fan case, and the inlet cowl.","Aircraft - Aircraft power plant - Power plant - Engine cowling system - Damaged/degraded, Aircraft - Aircraft power plant - Power plant - Engine cowling system - Capability exceeded, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Compressor section - Damaged/degraded, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Compressor section - Capability exceeded, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment",,39.749824,-104.999977,BOEING,757-222,AIR,DEN,Denver International,false,2,TF,SCHD,,121,Minor,,UNITED AIRlNES INC,Landing,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=81900,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/81900/pdf,2011,,Boeing,9,26,17,Monday
449,DCA11WA107,ACC,81954.0,2011-09-26T14:22:00Z,Puerto Ordaz,,Venezuela,,YV-136T,,False,Aviation,,,,,0.0,0.0,0.0,,,,,,BOEING,DC-9,AIR,,Puerto Ordaz,false,,TJ,SCHD,,NUSC,Substantial,,Aeropostal,Landing,,,,,,2011,,Boeing,9,26,14,Monday
463,CEN11CA664,ACC,81892.0,2011-09-24T14:30:00Z,Houston,Texas,United States,,"N54087, N72566","75-1148, 17281012",False,Aviation,DirectorBrief,2011-11-03T04:00:00Z,2011-09-29T20:01:00Z,,0.0,0.0,0.0,The pilot’s failure to maintain visual contact while taxiing.,Personnel issues - Action/decision - Action - Incorrect action performance - Pilot,,29.604444,-95.155281,"BOEING, CESSNA","E75, 172R","AIR, AIR",EFD,Ellington Field,"false, false","1, 1","REC, REC",,"INST, INST","091, 091","Substantial, Substantial",VMC,"HISTORY FLIGHT INC, RHM HOLDINGS LLC",Taxi,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=81892,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/81892/pdf,2011,,Boeing,9,24,14,Saturday
476,WPR11RA480,INC,82261.0,2011-09-23T00:00:00Z,Hassi Messaoud,,Algeria,,F-GRXN,,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,,,AIRBUS,A319,,,,false,,,SCHD,,NUSC,,VMC,Air France,Enroute,,,Final,,,2011,,Airbus,9,23,0,Friday
485,DCA11WA099,INC,81834.0,2011-09-19T17:20:00Z,Cusco,,Peru,,N493TA,2917,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,-13.535833,-71.938888,AIRBUS,A320,AIR,SPZO,Alejandro Velasco Astete IAP,false,2,,SCHD,,NUSC,,,"Trans American Airlines, S.A.",Enroute,,,Final,,,2011,,Airbus,9,19,17,Monday
502,CEN11IA649,INC,81818.0,2011-09-17T11:45:00Z,Chicago,Illinois,United States,,C-FGYL,MSN 254,False,Aviation,DirectorBrief,2012-11-07T05:00:00Z,2012-09-21T18:27:00Z,,0.0,0.0,0.0,The infiltration of moisture into the windshield heating layer that induced arcing in the heating system that subsequently cracked the windshield.,"Aircraft - Aircraft structures - Windows-windshield system - Flight compartment windows - Failure, Aircraft - Aircraft structures - Windows-windshield system - Flight compartment windows - Design",,41.978297,-87.910773,Airbus Industrie,A320-211,AIR,ORD,Chicago O'Hare IAP,false,2,TF,SCHD,,129,Minor,VMC,AIR CANADA,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=81818,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/81818/pdf,2011,,Airbus,9,17,11,Saturday
530,DCA11WA110,ACC,82048.0,2011-09-12T01:00:00Z,Montauk,Atlantic Ocean,United States,,OE-LPB,,False,Aviation,,,,Serious,0.0,2.0,0.0,,,,37.635185,-72.861839,BOEING,777,AIR,,,false,,,SCHD,,129,,,,Enroute,,,,,,2011,,Boeing,9,12,1,Monday
542,DCA11WA109,INC,81990.0,2011-09-10T04:00:00Z,Phuket,,Thailand,,B-5088,,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,,,BOEING,737,,,,false,,,SCHD,,129,Minor,,Shanghai Airlines,,,,Final,,,2011,,Boeing,9,10,4,Saturday
553,DCA11WA105,INC,81927.0,2011-09-06T14:50:00Z,Hamamatsu City,,Japan,,JA16AN,,False,Aviation,,,,Minor,0.0,0.0,2.0,,,,,,BOEING,737,,,,false,2,,SCHD,,129,,,,,,,,,,2011,,Boeing,9,6,14,Tuesday
554,DCA11CA116,ACC,82964.0,2011-09-06T13:09:00Z,Cape Coral,Florida,United States,,N936WN,36643,False,Aviation,DirectorBrief,2017-02-23T05:00:00Z,2017-02-23T19:41:00Z,Serious,0.0,1.0,0.0,An encounter with convective turbulence during the descent.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,,26.44,-82.050003,BOEING,737 7H4,AIR,,,false,2,TF,SCHD,,121,,VMC,Southwest Airlines,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=82964,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82964/pdf,2011,,Boeing,9,6,13,Tuesday
660,CEN11LA606,ACC,81642.0,2011-08-21T14:35:00Z,Mt. Clemens,Michigan,United States,,"N49739, N7505B","75-4462, S1205",False,Aviation,DirectorBrief,2012-04-02T04:00:00Z,2012-03-05T19:21:00Z,Fatal,1.0,0.0,0.0,The wing walker’s decision to release his grip of the airplane during an attempted aerial transfer from airplane to helicopter before both aircraft achieved the proper relative positioning for the transfer.,"Personnel issues - Action/decision - Action - Incorrect action performance - Other, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Other",,42.608333,-82.83555599999998,"BOEING, SCHWEIZER","A75N1(PT17), HUGHES 269C","AIR, HELI",MTC,Selfridge Air Natl Guard Base,"false, false","1, 1","REC, REC",,"ASHO, ASHO","091, 091","None, None",VMC,Helibatics LLC,Maneuvering,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=81642,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/81642/pdf,2011,,Boeing,8,21,14,Sunday
673,DCA11RA097,ACC,81549.0,2011-08-20T13:30:00Z,Resolute,,Canada,,CGNWN,21067,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,74.71888699999998,-94.918609,BOEING,737,AIR,,,false,2,,NSCH,,NUSC,Destroyed,,First Air,,,,Final,,,2011,,Boeing,8,20,13,Saturday
685,ENG11WA046,INC,81576.0,2011-08-18T21:56:00Z,Stockholm-Skavsta Airport,,Sweden,,HA-LPB,,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,,,AIRBUS,A320,AIR,,,false,,,,,UNK,,,Wizz Air Hungary Légiközlekedési Kft.,,,,Final,,,2011,,Airbus,8,18,21,Thursday
728,CEN11LA578,ACC,81508.0,2011-08-14T12:26:00Z,Fabens,Texas,United States,,N53473,75-2442,False,Aviation,DirectorBrief,2012-08-15T04:00:00Z,2012-06-28T12:41:00Z,Serious,0.0,2.0,0.0,"The pilot’s decision to continue the high density altitude takeoff with reduced engine power and his decision to initiate a turn back to the runway with insufficient airspeed, which resulted in an aerodynamic stall.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,31.509445,-106.141387,BOEING,A75N1(PT17),AIR,E35,Fabens Airport,false,1,REC,,PERS,091,Substantial,VMC,DOYLE LOIS A,Initial Climb,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=81508,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/81508/pdf,2011,,Boeing,8,14,12,Sunday
807,DCA11WA093,INC,81374.0,2011-07-31T17:10:00Z,Leipzig-Halle,,Germany,,D-ALEA,,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,,,BOEING,757,,,,false,,,SCHD,,UNK,,,European Air Tarnsport Leipzig GmbH,,,,Final,,,2011,,Boeing,7,31,17,Sunday
825,DCA11RA092,ACC,81289.0,2011-07-30T06:25:00Z,Georgetown,,Guyana,,9Y-PBM,,False,Aviation,,2020-11-03T05:00:00Z,,Serious,0.0,1.0,0.0,,,,,,BOEING,737,AIR,SYCJ,Georgetown,false,2,,SCHD,,NUSC,Substantial,,Caribbean Airlines,Landing,,,Final,,,2011,,Boeing,7,30,6,Saturday
833,DCA11WA090,INC,81282.0,2011-07-29T08:00:00Z,Cairo,,Egypt,,SU-GBP,28423,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,,,BOEING,777,AIR,,Cairo,false,2,,SCHD,,NUSC,Minor,,Egyptair,Pushback/Tow,,,Final,,,2011,,Boeing,7,29,8,Friday
834,DCA11FA091,ACC,81288.0,2011-07-29T06:58:00Z,Tangshan,,China,,N173UA,24380,False,Aviation,DirectorBrief,2013-01-15T05:00:00Z,2013-01-03T14:37:00Z,Serious,0.0,1.0,4.0,an inadvertent encounter with convectively induced turbulence likely due to radar limitations and convective weather developing upwards into the flight path.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition,,39.545197,118.167971,BOEING,747-422,AIR,,,false,4,TF,SCHD,,121,,VMC,United Airlines,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=81288,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/81288/pdf,2011,,Boeing,7,29,6,Friday
841,DCA11RA087,ACC,81262.0,2011-07-27T20:12:00Z,Jeju Island,,Republic Of Korea,,HL-7604,,True,Aviation,,,2016-02-09T20:40:00Z,Fatal,2.0,0.0,0.0,,,,,,BOEING,747,AIR,,,false,4,,SCHD,,NUSC,Destroyed,,ASIANA AIRLINES INC,Enroute,,,Prelim,https://data.ntsb.gov/Docket?ProjectID=81262,,2011,,Boeing,7,27,20,Wednesday
849,DCA11WA088,INC,81156.0,2011-07-26T17:35:00Z,PEMIR,,Latvia,,YL-BBR,,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,,,BOEING,737,AIR,,,false,,,SCHD,,NUSC,,,,Enroute,,,Final,,,2011,,Boeing,7,26,17,Tuesday
854,ENG11WA044,INC,81523.0,2011-07-26T04:00:00Z,"Liege, Belium",,Belgium,,4X-ICO,23348,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,,,BOEING,747-230F,AIR,LGG,Liege Airport,false,4,TF,SCHD,,NUSC,,,C.A.L. Cargo Airlines,,,,Final,,,2011,,Boeing,7,26,4,Tuesday
